Source,Target,Weight
Asociación de Padres y Amigos de Sordos del Uruguay — APASU,Juntos por un sueño — Comisión de Apoyo a personas con Discapacidad de Ciudad de la Costa,1
Asociación de Padres y Amigos de Sordos del Uruguay — APASU,Movimiento Estamos Todos En Acción — M.E.T.A — Uruguay,1
Asociación de Padres y Amigos de Sordos del Uruguay — APASU,"Nacer, Crecer, Vivir — NACREVI",1
Asociación de Padres y Amigos de Sordos del Uruguay — APASU,Observatorio Uruguayo por los Derechos de las Personas con Discapacidad,1
Asociación de Padres y Amigos de Sordos del Uruguay — APASU,ProEdu Educación Inclusiva de Calidad,1
"Alianza de Organizaciones por los Derechos de las Personas con Discapacidad en Uruguay (Asamblea Instituyente por Salud Mental, Desmanicomialización y Vida digna",Fundación Alejandra Forlán,1
"Alianza de Organizaciones por los Derechos de las Personas con Discapacidad en Uruguay (Asamblea Instituyente por Salud Mental, Desmanicomialización y Vida digna",Federación Autismo Uruguay - FAU,1
Centro de Archivos y Acceso a la Información Pública — CAinfo,Grupo de Trabajo sobre Educación Inclusiva en Uruguay - GT-EI,1
10 GE.18-18654 Asociación de Esclerosis Múltiple de Uruguay — EMUR,Instituto Interamericano sobre Discapacidad y Desarrollo Inclusivo - iiDi,1
10 GE.18-18654 Asociación de Esclerosis Múltiple de Uruguay — EMUR,Asociación de Sordos del Uruguay — ASUR (JUVESUR),1
10 GE.18-18654 Asociación de Esclerosis Múltiple de Uruguay — EMUR,Asociación de Usuarios de Montevideo e Interior de la República (ASUMIR),1
10 GE.18-18654 Asociación de Esclerosis Múltiple de Uruguay — EMUR,CENTEA Uruguay,1
10 GE.18-18654 Asociación de Esclerosis Múltiple de Uruguay — EMUR,Centro de Archivos y Acceso a la Información Pública — CAinfo,1
10 GE.18-18654 Asociación de Esclerosis Múltiple de Uruguay — EMUR,Centro de Capacitación Humanizadora — CECAHU,1
10 GE.18-18654 Asociación de Esclerosis Múltiple de Uruguay — EMUR,Centro de Investigación y Desarrollo para la Persona Sorda - CINDE,1
10 GE.18-18654 Asociación de Esclerosis Múltiple de Uruguay — EMUR,"Centro de Investigación, Educación y Encuentro Popular Rebellato (CIEENPRE JUNTOS)",1
10 GE.18-18654 Asociación de Esclerosis Múltiple de Uruguay — EMUR,Cotidiano Mujer,1
10 GE.18-18654 Asociación de Esclerosis Múltiple de Uruguay — EMUR,Federación Autismo Uruguay - FAU,1
10 GE.18-18654 Asociación de Esclerosis Múltiple de Uruguay — EMUR,Federación Uruguaya Asociaciones de Padres de Personas con Discapacidad Intelectual — FUAP,1
10 GE.18-18654 Asociación de Esclerosis Múltiple de Uruguay — EMUR,Fundación Alejandra Forlán,1
10 GE.18-18654 Asociación de Esclerosis Múltiple de Uruguay — EMUR,Fundación Bensadoun Laurent,1
10 GE.18-18654 Asociación de Esclerosis Múltiple de Uruguay — EMUR,Grupo de Trabajo sobre Educación Inclusiva en Uruguay - GT-EI,1
10 GE.18-18654 Asociación de Esclerosis Múltiple de Uruguay — EMUR,Juntos por un sueño — Comisión de Apoyo a personas con Discapacidad de Ciudad de la Costa,1
"Alianza de Organizaciones por los Derechos de las Personas con Discapacidad en Uruguay (Asamblea Instituyente por Salud Mental, Desmanicomialización y Vida digna",Cotidiano Mujer,1
10 GE.18-18654 Asociación de Esclerosis Múltiple de Uruguay — EMUR,Movimiento Estamos Todos En Acción — M.E.T.A — Uruguay,1
10 GE.18-18654 Asociación de Esclerosis Múltiple de Uruguay — EMUR,"Nacer, Crecer, Vivir — NACREVI",1
10 GE.18-18654 Asociación de Esclerosis Múltiple de Uruguay — EMUR,Observatorio Uruguayo por los Derechos de las Personas con Discapacidad,1
10 GE.18-18654 Asociación de Esclerosis Múltiple de Uruguay — EMUR,ProEdu Educación Inclusiva de Calidad,1
10 GE.18-18654 Asociación de Esclerosis Múltiple de Uruguay — EMUR,Unión Nacional de Ciegos de Uruguay — UNCU (Uruguay),1
"Alianza de Organizaciones por los Derechos de las Personas con Discapacidad en Uruguay (Asamblea Instituyente por Salud Mental, Desmanicomialización y Vida digna",Asociación de Padres y Amigos de Sordos del Uruguay — APASU,1
"Alianza de Organizaciones por los Derechos de las Personas con Discapacidad en Uruguay (Asamblea Instituyente por Salud Mental, Desmanicomialización y Vida digna",Asociación de Sordos del Uruguay — ASUR (JUVESUR),1
"Alianza de Organizaciones por los Derechos de las Personas con Discapacidad en Uruguay (Asamblea Instituyente por Salud Mental, Desmanicomialización y Vida digna",Asociación de Usuarios de Montevideo e Interior de la República (ASUMIR),1
"Alianza de Organizaciones por los Derechos de las Personas con Discapacidad en Uruguay (Asamblea Instituyente por Salud Mental, Desmanicomialización y Vida digna",CENTEA Uruguay,1
"Alianza de Organizaciones por los Derechos de las Personas con Discapacidad en Uruguay (Asamblea Instituyente por Salud Mental, Desmanicomialización y Vida digna",Centro de Archivos y Acceso a la Información Pública — CAinfo,1
"Alianza de Organizaciones por los Derechos de las Personas con Discapacidad en Uruguay (Asamblea Instituyente por Salud Mental, Desmanicomialización y Vida digna",Centro de Capacitación Humanizadora — CECAHU,1
"Alianza de Organizaciones por los Derechos de las Personas con Discapacidad en Uruguay (Asamblea Instituyente por Salud Mental, Desmanicomialización y Vida digna",Centro de Investigación y Desarrollo para la Persona Sorda - CINDE,1
"Alianza de Organizaciones por los Derechos de las Personas con Discapacidad en Uruguay (Asamblea Instituyente por Salud Mental, Desmanicomialización y Vida digna","Centro de Investigación, Educación y Encuentro Popular Rebellato (CIEENPRE JUNTOS)",1
Asociación de Padres y Amigos de Sordos del Uruguay — APASU,Unión Nacional de Ciegos de Uruguay — UNCU (Uruguay),1
Asociación de Sordos del Uruguay — ASUR (JUVESUR),Asociación de Usuarios de Montevideo e Interior de la República (ASUMIR),1
Asociación de Sordos del Uruguay — ASUR (JUVESUR),CENTEA Uruguay,1
CENTEA Uruguay,Instituto Interamericano sobre Discapacidad y Desarrollo Inclusivo - iiDi,1
Asociación de Usuarios de Montevideo e Interior de la República (ASUMIR),Observatorio Uruguayo por los Derechos de las Personas con Discapacidad,1
