Source,Target,Weight
"Ministry of Women in Action (MOWIA), (Kiribati)","Nei Mom, (Kiribati)",1
"Ministry of Women in Action (MOWIA), (Kiribati)","Nei Tiwiita, (Kiribati)",1
"Ministry of Women in Action (MOWIA), (Kiribati)","Ngareia, (Kiribati)",1
"Ministry of Women in Action (MOWIA), (Kiribati)","Nikabubutin Makin, (Kiribati)",1
"Ministry of Women in Action (MOWIA), (Kiribati)","Reitan Ainen Boretetanti (RAB), (Kiribati)",1
"Ministry of Women in Action (MOWIA), (Kiribati)","Reitan Ainen KUC (RAK), (Kiribati)",1
"Ministry of Women in Action (MOWIA), (Kiribati)","Reitan Nanoia Ainen Onotoa, (Kiribati)",1
"Ministry of Women in Action (MOWIA), (Kiribati)","Relief Society, (Kiribati)",1
"Ministry of Women in Action (MOWIA), (Kiribati)","Tanimwarutamu, (Kiribati)",1
"Ministry of Women in Action (MOWIA), (Kiribati)","Te Toa Matoa (TTM), (Kiribati)",1
"Ministry of Women in Action (MOWIA), (Kiribati)","Terunganaine, (Kiribati)",1
"Marewen Nonouti, (Kiribati)","Ueen te Makeke, (Kiribati)",1
"Marewen Nonouti, (Kiribati)","Relief Society, (Kiribati)",1
"Marewen Nonouti, (Kiribati)","Ueen Tebike, (Kiribati)",1
"Kiribati Women Teachers Network Association (KWTNA), (Kiribati)","Reitan Nanoia Ainen Onotoa, (Kiribati)",1
"Kiribati Women Teachers Network Association (KWTNA), (Kiribati)","Marewen Tabiteuea Meang, (Kiribati)",1
"Kiribati Women Teachers Network Association (KWTNA), (Kiribati)","Matangareia Ainen Tamana, (Kiribati)",1
"Kiribati Women Teachers Network Association (KWTNA), (Kiribati)","Ministry of Women in Action (MOWIA), (Kiribati)",1
"Kiribati Women Teachers Network Association (KWTNA), (Kiribati)","Nei Baneawa, (Kiribati)",1
"Kiribati Women Teachers Network Association (KWTNA), (Kiribati)","Nei Mom, (Kiribati)",1
"Kiribati Women Teachers Network Association (KWTNA), (Kiribati)","Nei Tiwiita, (Kiribati)",1
"Kiribati Women Teachers Network Association (KWTNA), (Kiribati)","Ngareia, (Kiribati)",1
"Kiribati Women Teachers Network Association (KWTNA), (Kiribati)","Nikabubutin Makin, (Kiribati)",1
"Kiribati Women Teachers Network Association (KWTNA), (Kiribati)","Reitan Ainen Boretetanti (RAB), (Kiribati)",1
"Kiribati Women Teachers Network Association (KWTNA), (Kiribati)","Reitan Ainen KUC (RAK), (Kiribati)",1
"Kiribati Women Teachers Network Association (KWTNA), (Kiribati)","Relief Society, (Kiribati)",1
"Kiribati Women Teachers Network Association (KWTNA), (Kiribati)","Ueen te Toaki, (Kiribati)",1
"Kiribati Women Teachers Network Association (KWTNA), (Kiribati)","Tanimwarutamu, (Kiribati)",1
"Kiribati Women Teachers Network Association (KWTNA), (Kiribati)","Te Toa Matoa (TTM), (Kiribati)",1
"Kiribati Women Teachers Network Association (KWTNA), (Kiribati)","Terunganaine, (Kiribati)",1
"Kiribati Women Teachers Network Association (KWTNA), (Kiribati)","Tetokanimarakei, (Kiribati)",1
"Kiribati Women Teachers Network Association (KWTNA), (Kiribati)","Ueen Abemama, (Kiribati)",1
"Kiribati Women Teachers Network Association (KWTNA), (Kiribati)","Ueen Aranuka, (Kiribati)",1
"Kiribati Women Teachers Network Association (KWTNA), (Kiribati)","Ueen Benita, (Kiribati)",1
"Kiribati Women Teachers Network Association (KWTNA), (Kiribati)","Ueen Kirabun Eutan Tarawa Ieta (UKETI), (Kiribati)",1
"Kiribati Women Teachers Network Association (KWTNA), (Kiribati)","Ueen Tebike, (Kiribati)",1
"Kiribati Women Teachers Network Association (KWTNA), (Kiribati)","Ueen te Bitati, (Kiribati)",1
"Kiribati Women Teachers Network Association (KWTNA), (Kiribati)","Marewen Nonouti, (Kiribati)",1
"Kiribati Women Teachers Network Association (KWTNA), (Kiribati)","Kometen Reitakiia Botaki n Aine (KRBA), (Kiribati)",1
"Kiribati Women And Violence Elimination (KWAVE), (Kiribati)","Ueen te Ueanikai, (Kiribati)",1
"Kiribati Women And Violence Elimination (KWAVE), (Kiribati)","Ueen te Toaki, (Kiribati)",1
"Kiribati Women And Violence Elimination (KWAVE), (Kiribati)","Ministry of Women in Action (MOWIA), (Kiribati)",1
"Kiribati Women And Violence Elimination (KWAVE), (Kiribati)","Nei Baneawa, (Kiribati)",1
"Kiribati Women And Violence Elimination (KWAVE), (Kiribati)","Nei Mom, (Kiribati)",1
"Kiribati Women And Violence Elimination (KWAVE), (Kiribati)","Nei Tiwiita, (Kiribati)",1
"Kiribati Women And Violence Elimination (KWAVE), (Kiribati)","Ngareia, (Kiribati)",1
"Kiribati Women And Violence Elimination (KWAVE), (Kiribati)","Nikabubutin Makin, (Kiribati)",1
"Kiribati Women And Violence Elimination (KWAVE), (Kiribati)","Reitan Ainen Boretetanti (RAB), (Kiribati)",1
"Kiribati Women And Violence Elimination (KWAVE), (Kiribati)","Reitan Ainen KUC (RAK), (Kiribati)",1
"Kiribati Women And Violence Elimination (KWAVE), (Kiribati)","Reitan Nanoia Ainen Onotoa, (Kiribati)",1
"Kiribati Women And Violence Elimination (KWAVE), (Kiribati)","Relief Society, (Kiribati)",1
"Kiribati Women And Violence Elimination (KWAVE), (Kiribati)","Tanimwarutamu, (Kiribati)",1
"Kiribati Women And Violence Elimination (KWAVE), (Kiribati)","Te Toa Matoa (TTM), (Kiribati)",1
"Kiribati Women And Violence Elimination (KWAVE), (Kiribati)","Terunganaine, (Kiribati)",1
"Kiribati Women And Violence Elimination (KWAVE), (Kiribati)","Tetokanimarakei, (Kiribati)",1
"Kiribati Women And Violence Elimination (KWAVE), (Kiribati)","Ueen Abemama, (Kiribati)",1
"Kiribati Women And Violence Elimination (KWAVE), (Kiribati)","Ueen Aranuka, (Kiribati)",1
"Kiribati Women And Violence Elimination (KWAVE), (Kiribati)","Ueen Benita, (Kiribati)",1
"Kiribati Women And Violence Elimination (KWAVE), (Kiribati)","Ueen Kirabun Eutan Tarawa Ieta (UKETI), (Kiribati)",1
"Kiribati Women And Violence Elimination (KWAVE), (Kiribati)","Ueen Tebike, (Kiribati)",1
"Kiribati Women And Violence Elimination (KWAVE), (Kiribati)","Ueen te Bitati, (Kiribati)",1
"Kiribati Women And Violence Elimination (KWAVE), (Kiribati)","Ueen te Makeke, (Kiribati)",1
"Kiribati Women Teachers Network Association (KWTNA), (Kiribati)","Ueen te Makeke, (Kiribati)",1
"Kiribati Women Teachers Network Association (KWTNA), (Kiribati)","Ueen te Ueanikai, (Kiribati)",1
"Marewen Nonouti, (Kiribati)","Ueen Kirabun Eutan Tarawa Ieta (UKETI), (Kiribati)",1
"Marewen Nonouti, (Kiribati)","Nikabubutin Makin, (Kiribati)",1
"Kometen Reitakiia Botaki n Aine (KRBA), (Kiribati)","Ueen te Makeke, (Kiribati)",1
"Kometen Reitakiia Botaki n Aine (KRBA), (Kiribati)","Ueen te Toaki, (Kiribati)",1
"Kometen Reitakiia Botaki n Aine (KRBA), (Kiribati)","Ueen te Ueanikai, (Kiribati)",1
"Marewen Nonouti, (Kiribati)","Marewen Tabiteuea Meang, (Kiribati)",1
"Marewen Nonouti, (Kiribati)","Matangareia Ainen Tamana, (Kiribati)",1
"Marewen Nonouti, (Kiribati)","Ministry of Women in Action (MOWIA), (Kiribati)",1
"Marewen Nonouti, (Kiribati)","Nei Baneawa, (Kiribati)",1
"Marewen Nonouti, (Kiribati)","Nei Mom, (Kiribati)",1
