Source,Target,Weight
"Journalists' Club Asparez, Gyumri (Armenia)","Protection of Rights without Borders NGO, Yerevan (Armenia)",1
"Helsinki Association for Human Rights NGO, Yerevan (Armenia)","Human Rights Research Center NGO, Yerevan (Armenia)",1
"Helsinki Citizens’ Assembly–Vanadzor, Vanadzor (Armenia)","Institute of Migration and Social Changes, Yerevan (Armenia)",1
"Helsinki Committee of Armenia Human Rights Defender NGO, Yerevan (Armenia)",Law Development and Protection Foundation,1
"Institute of Public Policy, Yerevan (Armenia)","Martuni Women's Community Council NGO, Martuni (Armenia)",1
"Human Rights Research Center NGO, Yerevan (Armenia)","Peace Dialogue NGO, Vanadzor (Armenia), Pink Human Rights Defender NGO, Yerevan (Armenia)",1
"Human Rights House Foundation, Geneva (Switzerland)","Socioscope, Yerevan (Armenia)",1
"Human Rights House Foundation, Geneva (Switzerland)","Women’s Resource Center, Yerevan (Armenia)",1
"Human Rights Research Center NGO, Yerevan (Armenia)","Institute of Migration and Social Changes, Yerevan (Armenia)",1
"Helsinki Citizens’ Assembly–Vanadzor, Vanadzor (Armenia)","Youth Avangard NGO, Yerevan (Armenia)",1
"Human Rights Research Center NGO, Yerevan (Armenia)","Iravates Club NGO, Hrazdan (Armenia)",1
"Helsinki Citizens’ Assembly–Vanadzor, Vanadzor (Armenia)",Yezidi Center for Human Rights Human Rights Defender NGO,1
"Helsinki Citizens’ Assembly–Vanadzor, Vanadzor (Armenia)","Women's Support Center NGO, Yerevan (Armenia)",1
"Human Rights Research Center NGO, Yerevan (Armenia)",Law Development and Protection Foundation,1
"Human Rights Research Center NGO, Yerevan (Armenia)","Legal Analyses and Development Center, Yerevan (Armenia)",1
"Human Rights Research Center NGO, Yerevan (Armenia)","Martuni Women's Community Council NGO, Martuni (Armenia)",1
"Helsinki Citizens’ Assembly–Vanadzor, Vanadzor (Armenia)","Women's Resource Center NGO, Yerevan (Armenia)",1
"Helsinki Citizens’ Assembly–Vanadzor, Vanadzor (Armenia)","Women's Empowerment Center' NGO, Yerevan (Armenia)",1
"Helsinki Citizens’ Assembly–Vanadzor, Vanadzor (Armenia)","United Nations Association of Armenia, Yerevan (Armenia)",1
"Helsinki Citizens’ Assembly–Vanadzor, Vanadzor (Armenia)","Union of Informed Citizens Consulting NGO, Yerevan (Armenia)",1
"Helsinki Citizens’ Assembly–Vanadzor, Vanadzor (Armenia)","Society Without Violence NGO, Yerevan (Armenia)",1
"Human Rights Research Center NGO, Yerevan (Armenia)","Non-Discrimination and Equality Coalition NGO, Yerevan (Armenia)",1
"Helsinki Citizens’ Assembly–Vanadzor, Vanadzor (Armenia)","Social justice NGO, Yerevan (Armenia)",1
"Helsinki Citizens’ Assembly–Vanadzor, Vanadzor (Armenia)","Sexual Assault Crisis Center NGO, Yerevan (Armenia)",1
"Helsinki Citizens’ Assembly–Vanadzor, Vanadzor (Armenia)","Real World, Real People NGO, Yerevan (Armenia)",1
"Human Rights House Foundation, Geneva (Switzerland)","Real World, Real People, Yerevan (Armenia)",1
"Helsinki Citizens’ Assembly–Vanadzor, Vanadzor (Armenia)",Youth Syunik Youth NGO,1
"Human Rights House Foundation, Geneva (Switzerland)","Pink Armenia, Yerevan (Armenia)",1
"Helsinki Committee of Armenia Human Rights Defender NGO, Yerevan (Armenia)","Social justice NGO, Yerevan (Armenia)",1
"Helsinki Committee of Armenia Human Rights Defender NGO, Yerevan (Armenia)","Martuni Women's Community Council NGO, Martuni (Armenia)",1
"Helsinki Committee of Armenia Human Rights Defender NGO, Yerevan (Armenia)","Non-Discrimination and Equality Coalition NGO, Yerevan (Armenia)",1
"Helsinki Committee of Armenia Human Rights Defender NGO, Yerevan (Armenia)","Iravates Club NGO, Hrazdan (Armenia)",1
"Helsinki Committee of Armenia Human Rights Defender NGO, Yerevan (Armenia)","Peace Dialogue NGO, Vanadzor (Armenia), Pink Human Rights Defender NGO, Yerevan (Armenia)",1
"Helsinki Committee of Armenia Human Rights Defender NGO, Yerevan (Armenia)","Pink Human Rights Defender NGO, Yerevan (Armenia)",1
"Helsinki Committee of Armenia Human Rights Defender NGO, Yerevan (Armenia)","Protection of Rights without Borders NGO, Yerevan (Armenia)",1
"Helsinki Committee of Armenia Human Rights Defender NGO, Yerevan (Armenia)","Real World, Real People NGO, Yerevan (Armenia)",1
"Helsinki Committee of Armenia Human Rights Defender NGO, Yerevan (Armenia)","Sexual Assault Crisis Center NGO, Yerevan (Armenia)",1
"Helsinki Committee of Armenia Human Rights Defender NGO, Yerevan (Armenia)","Society Without Violence NGO, Yerevan (Armenia)",1
"Helsinki Committee of Armenia Human Rights Defender NGO, Yerevan (Armenia)",Youth Syunik Youth NGO,1
"Helsinki Committee of Armenia Human Rights Defender NGO, Yerevan (Armenia)","Institute of Migration and Social Changes, Yerevan (Armenia)",1
"Helsinki Committee of Armenia Human Rights Defender NGO, Yerevan (Armenia)","Union of Informed Citizens Consulting NGO, Yerevan (Armenia)",1
"Helsinki Committee of Armenia Human Rights Defender NGO, Yerevan (Armenia)","United Nations Association of Armenia, Yerevan (Armenia)",1
"Helsinki Committee of Armenia Human Rights Defender NGO, Yerevan (Armenia)","Women's Empowerment Center' NGO, Yerevan (Armenia)",1
"Helsinki Committee of Armenia Human Rights Defender NGO, Yerevan (Armenia)","Women's Resource Center NGO, Yerevan (Armenia)",1
"Helsinki Committee of Armenia Human Rights Defender NGO, Yerevan (Armenia)","Women's Support Center NGO, Yerevan (Armenia)",1
"Helsinki Committee of Armenia Human Rights Defender NGO, Yerevan (Armenia)",Yezidi Center for Human Rights Human Rights Defender NGO,1
"Helsinki Committee of Armenia Human Rights Defender NGO, Yerevan (Armenia)","Youth Avangard NGO, Yerevan (Armenia)",1
"Helsinki Citizens’ Assembly–Vanadzor, Vanadzor (Armenia)","Protection of Rights without Borders NGO, Yerevan (Armenia)",1
"Helsinki Citizens’ Assembly–Vanadzor, Vanadzor (Armenia)","Pink Human Rights Defender NGO, Yerevan (Armenia)",1
"Institute of Public Policy, Yerevan (Armenia)","Legal Analyses and Development Center, Yerevan (Armenia)",1
"Helsinki Citizens’ Assembly–Vanadzor, Vanadzor (Armenia)","Peace Dialogue NGO, Vanadzor (Armenia), Pink Human Rights Defender NGO, Yerevan (Armenia)",1
"Institute of Migration and Social Changes, Yerevan (Armenia)","Khoran Ard Intellectual NGO, Gyumri (Armenia)",1
"Institute of Migration and Social Changes, Yerevan (Armenia)","Martuni Women's Community Council NGO, Martuni (Armenia)",1
